,Location,y,x,N,P,K,pH,temp,climate
285,sathur (5),14.522450599999999,75.963952,51,17,163,7.17,33,2
286,neelagunda(2),14.733232899999999,75.89460009999999,115,22,154,6.82,39,2
287,kambatrahalli(2),14.724693700000001,75.9731622,66,74,138,7.62,8,2
288,hiremegalageri(2),14.568651199999998,75.96440059999999,85,13,149,6.7,19,2
289,hiremegalageri(3),14.5665393,75.9847083,91,15,194,6.73,35,2
290,k.kallahalli(2),14.7854706,75.8586898,73,12,160,7.85,7,2
291,k.kallahalli(3),14.7729936,75.867758,74,10,165,8.07,19,2
292,kadathi(2),14.6616519,75.8068871,110,31,190,7.1,18,2
293,kadathi(3),14.6616884,75.8079858,120,21,190,6.88,25,2
294,ittigudi(2),14.729594899999999,75.8518196,74,10,114,7.67,22,2
295,ittigudi(4),14.73071,75.8515615,69,10,194,7.66,18,2
296,ittigudi(5),14.7307456,75.8504587,103,15,113,7.39,15,2
297,ittigudi(6),14.7313264,75.85350890000001,66,7,149,7.19,20,2
298,chigateri(2),14.820672699999998,76.08778649999999,98,19,194,7.6,4,2
299,dibbadahalli(2),14.541615900000002,76.486562,95,23,110,7.41,28,2
300,dibbadahalli(3),14.5404697,76.49112609999999,88,11,318,7.72,3,2
301,dibbadahalli(4),14.537779800000001,76.4951587,75,15,169,7.54,10,2
302,dibbadahalli(5),14.543761100000001,76.4967465,98,10,181,7.64,29,2
303,dibbadahalli(6),14.5468997,76.4915133,54,7,103,7.62,37,2
304,dibbadahalli(7),14.5522063,76.4884448,113,15,176,7.04,0,2
305,yalavatti(2),14.405999999999999,75.7239347,120,21,179,6.51,7,2
306,yalavatti(3),14.4066473,75.72727629999999,108,9,110,6.02,6,2
307,yalavatti(4),14.4062652,75.7254025,73,17,169,7.32,19,2
308,yalavatti(5),14.406371799999999,75.72491690000001,113,27,169,6.71,17,2
309,yalavatti(6),14.405968300000001,75.7263941,113,23,179,7.31,16,2
310,yalavatti(7),14.406188199999999,75.7253319,91,7,199,5.98,19,2
311,yalavatti(8),14.405885699999999,75.7266247,103,15,196,7.26,22,2
312,yalavatti(9),14.4047848,75.725298,59,9,194,8.62,32,2
313,yalavatti(10),14.4055691,75.7242154,63,8,184,8.79,0,2
314,yalawatti(14),14.4066211,75.7250253,99,8,166,5.92,28,2
315,yalawatti(15),14.406958600000001,75.7256161,86,10,140,5.61,9,2
316,yalawatti(17),14.406193300000002,75.7248512,125,21,176,6.42,13,2
317,yalawatti(18),14.406422500000001,75.72653940000001,115,20,113,7.29,32,2
318,yalawatti(19),14.4065864,75.72545190000001,91,12,154,7.7,25,2
319,yalawatti(20),14.4063435,75.7242608,104,21,175,6.92,16,2
320,yalawatti(21),14.4067249,75.7259012,118,22,181,7.48,33,2
321,yalawatti(22),14.4074152,75.7251551,55,11,169,6.99,25,2
322,yalawatti(23),14.407148600000001,75.7255876,69,22,160,6.99,16,2
323,yalawatti(24),14.4056932,75.7249292,91,9,175,5.25,37,2
324,yalawatti(25),14.405431,75.727523,121,23,169,6.45,30,2
325,yalawatti(26),14.4057791,75.7266072,110,17,103,6.91,29,2
326,kunibelakere(2),14.3994133,75.80680129999999,104,25,169,6.92,0,2
327,kunibelakere(3),14.398036300000001,75.8069032,60,9,103,8.31,39,2
328,kunibelakere(4),14.398631900000002,75.8075415,55,10,155,8.04,22,2
329,sirigere(2),14.4320603,75.6874071,109,11,164,6.9,14,2
330,sirigere(3),14.429232999999998,75.695662,84,6,146,5.51,10,2
331,vaderahalli(2),14.550772199999997,75.85593490000001,94,10,94,8.19,37,2
332,vaderahalli(3),14.5502426,75.8609775,108,13,169,8.02,31,2
333,vaderahalli(4),14.5494429,75.8603016,99,12,149,8.12,3,2
334,vaderahalli(5),14.548546599999998,75.86140350000001,93,17,149,7.94,34,2
335,chikkabidre(2),14.626331900000002,75.8150196,98,10,199,7.44,15,2
336,nittur(2),14.3684747,75.77639040000001,75,9,180,7.86,39,2
337,sirigere(3),14.4264122,75.70011550000001,109,11,159,6.14,31,2
338,sirigere(4),14.422037,75.70520429999999,117,10,171,6.49,9,2
339,sirigere(5),14.4240751,75.70675159999999,103,7,180,6.25,15,2
340,sirigere(6),14.4292086,75.7111221,55,11,160,7.6,27,2
341,sirigere(7),14.431331400000001,75.7100676,79,11,144,7.49,36,2
342,kenchanahalli(2),14.589398000000001,75.862071,66,14,145,7.78,4,2
343,hanagawadi(2),14.4744565,75.7841751,88,25,150,7.63,15,2
344,hanagawadi(3),14.475303699999998,75.790151,97,21,185,7.54,31,2
345,hanagawadi(4),14.476722400000002,75.7928204,98,15,195,7.69,17,2
346,bannikodu(2),14.437721400000001,75.8021333,59,9,188,8.49,39,2
347,bannikodu(3),14.439113699999998,75.8129694,79,7,194,5.18,17,2
348,salakatte(2),14.447544199999998,75.8718683,74,10,180,7.29,22,2
349,hallihalu(2),14.3820946,75.69961490000001,69,7,189,7.71,36,2
350,kadaranaikanahalli(2),14.4094271,75.6809548,85,17,184,7.11,7,2
351,kadaranaikanahalli(3),14.4059772,75.68994559999999,118,25,159,7.34,11,2
352,holesirigere(2),14.4468883,75.7020503,103,22,179,7.13,7,2
353,holesirigere(3),14.4476052,75.7039815,74,10,181,6.76,11,2
354,holesirigere(4),14.447178699999998,75.7036622,78,14,194,7.93,24,2
355,holesirigere(5),14.445572199999997,75.7025666,59,10,166,7.78,31,2
356,holesirigere(6),14.445016800000001,75.70454009999999,103,19,180,7.46,26,2
357,kondaji(2),14.5685117,75.86872290000001,103,13,125,7.62,17,2
358,kondajji(3),14.568556400000002,75.8722128,69,15,163,7.92,36,2
359,bannikodu(2),14.4363291,75.80434340000001,95,19,131,7.47,23,2
360,bannikodu(3),14.435883300000002,75.81410670000001,96,15,179,7.77,21,2
361,bannikodu(4),14.442094199999998,75.8181436,76,10,149,7.84,39,2
362,bannikodu(5),14.446353899999998,75.82421550000001,69,8,199,8.08,7,2
363,jigali(2),14.3878468,75.73275090000001,91,45,164,7.55,23,2
364,jigali(3),14.3863581,75.7357872,113,10,166,6.35,38,2
365,jigali(4),14.3871552,75.7371155,95,15,33,7.43,7,2
366,Kechchenahalli2),14.570983100000001,76.3041525,111,14,65,6.66,38,2
367,bannikodu(2),14.4365785,75.8011892,98,19,92,7.96,0,2
368,bannikodu(3),14.436755100000001,75.8066072,103,21,103,7.82,36,2
369,bannikodu(4),14.434773000000002,75.8102716,103,9,190,5.94,37,2
370,bannikodu(5),14.436538800000001,75.8117055,83,13,157,7.93,0,2
371,bannikodu(6),14.4411369,75.817027,103,15,174,7.25,33,2
