Location,y,x,N,P,K,pH
kolenahalli(2),14.328187,75.8580743,85,7,144,8.24
rampura(3),14.8759749,76.773405,71,10,149,7.74
naraganahalli(2),15.4076973,76.5640593,60,13,194,7.67
Chikka Jantakal,15.4175871,76.577282,79,13,195,7.33
Achalapur,15.4255899,76.5614302,99,10,126,7.9
hanumanahalli(2),15.3523818,76.4642091,99,10,136,5.82
Danalli,14.1625813,75.5923399,126,18,105,6.14
Kankanahlli Thanda,14.1375536,75.6098414,108,7,195,5.65
Kunkuva,14.1144975,75.619669,98,7,154,5.65
Palavanahalli,14.0884244,75.5695554,74,9,198,7.66
BEERANAKERE MATTA,14.0481283,75.5500718,118,25,164,7.72
Suguru,13.9969298,75.6503451,98,7,179,5.73
Javalli,13.9626547,75.6485724,125,24,199,7.23
Taranaga Halli,13.9694123,75.665685,69,10,155,7.67
Aradotlu,13.9448966,75.7207775,92,7,110,8.04
ramagondanahalli(2),14.0876036,75.9551808,99,14,162,7.6
ramagondanahalli(3),14.0872661,75.9550718,107,13,173,7.74
ramagondanahalli(4),14.0931902,75.9547245,115,21,199,7.29
ramagondanahalli(5),14.1081111,75.9469447,75,13,191,7.61
ramagondanahalli(7),14.1023099,75.9528765,98,18,154,7.13
ramagondanahalli(8),14.0974143,75.9488979,66,18,130,7.95
ramagondanahalli(9),14.0940805,75.9521818,103,18,160,7.51
ramagondanahalli(10),14.094063,75.9568416,107,13,163,7.64
ramagondanahalli(11),14.0918579,75.9545862,121,23,199,7.3
ramagondanahalli(12),14.0900116,75.9543696,109,19,103,6.8
ramagondanahalli(13),14.0883188,75.9547455,113,18,198,6.26
thumbigere(2),14.4481575,76.0341752,115,33,103,7.46
gummanur(2),14.4141181,76.1093116,94,7,169,7.87
bethuru(2),14.4876407,75.9434324,69,10,164,7.88
bethuru(3),14.487557,75.9434733,87,21,176,6.95
bethuru(4),14.4864767,75.9428524,103,25,194,7.32
bethuru(5),14.4860716,75.9438515,66,9,168,7.91
bethuru(6),14.485856,75.9446066,94,25,194,6.57
bethuru(7),14.4857041,75.9445368,113,17,175,6.72
bethuru(8),14.4856781,75.9443759,91,9,191,7.65
bethuru(9),14.4861417,75.9449217,64,16,124,7.63
kenchammanahalli(2),14.4095818,76.0861856,74,9,169,5.92
kenchammanahalli(3),14.4090986,76.0863868,74,10,180,7.8
mudenahalli(2),14.4087401,76.0864377,98,18,171,7.18
kabburu(2),14.2970744,76.0092253,69,9,180,7.71
kabburu(3),14.2922088,76.0106845,84,9,154,5.4
kabburu(4),14.2884035,76.01474,84,9,169,5.4
kabburu(5),14.2867296,76.012208,66,15,195,7.8
doddabathi(2),14.4681285,75.8545476,98,10,154,6.33
kereyagalahalli(2),14.4456928,76.0789865,64,17,194,7.57
hulikatte(2),14.4601199,76.0989904,95,7,103,8.02
ganganakatte(2),14.3550247,76.0639312,95,10,190,6.34
honnur(2),14.4193512,75.995316,98,21,177,7.38
honnur(3),14.4189499,75.9954139,84,17,135,6.72
honnur(4),14.4184414,75.9963614,98,10,138,6.45
honnur(5),14.4169319,75.995471,89,54,138,7.4
chikkavvanagathihalli(2),14.3930352,75.9444581,64,8,180,6.06
anaberu(2),14.265584,76.0273955,105,17,118,7.32
maravanji,13.9291,75.9838,96,16,103,
anaberu(3),14.2654521,76.0274062,71,9,172,8.24
alur(2),14.1835784,75.9170177,99,15,125,7.34
alur(3),14.1845743,75.9182227,85,14,103,7.82
mavinahole,13.9569,75.9376,119,7,198,
kadlebalu(2),14.5394878,75.9076229,60,9,165,8.12
avaragere(2),14.4409292,75.9472329,100,15,166,7.42
avaragere(3),14.4547122,75.9391167,71,9,146,8.12
avaragere(4),14.4536677,75.9416858,113,17,108,6.68
avaragere(5),14.4481275,75.9413042,64,15,179,7.86
avaragere(6),14.444933,75.9426702,64,13,104,7.74
dindadahalli(2),14.4214187,75.9242424,103,21,197,6.72
neerthadi(2),14.3526342,76.1471114,51,9,155,8.01
attigere(2),14.3224659,75.9934373,103,17,103,7.34
chikkasandi,13.8779,75.9434,79,6,181,
attigere(3),14.321495,75.9932045,107,19,194,7.44
attigere(4),14.3216655,75.9943051,103,41,194,6.49
belavanur(2),14.3983297,75.9202116,108,23,184,6.8
Bilchodu,14.4916421,76.1595788,65,15,185,8.06
Talavatti,14.1032807,76.5579808,99,17,179,6.88
honnebagi,13.9922,75.9608,104,19,161,
Talavatti(2),14.1024847,76.5599066,61,11,198,7.86
halebathi(2),14.4766711,75.8595142,103,17,191,7.36
halebathi(3),14.4760702,75.8591699,125,19,138,7.09
halebathi(4),14.4757899,75.8599172,115,19,192,6.67
Kod,14.5147997,75.4440594,59,10,183,7.68
goppenahalli,13.9606,76.0138,74,7,184,
Kod(2),14.5143194,75.4447326,63,16,165,7.81
Sokke,14.6832392,76.2519837,109,18,103,7.63
Bullapura(2),14.3866912,75.5805478,106,21,179,6.93
Bullapura(3),14.3855354,75.5922088,99,19,195,7.24
Bullapura(4),14.4065193,75.5889261,74,14,180,7.5
Bullapura(5),14.40552,75.5978326,119,17,184,6.72
Bullapura(6),14.4078566,75.5992891,99,25,184,6.63
Bullapura camp (2),14.3819228,75.5796337,68,17,103,7.68
Bullapura camp (3),14.4091137,75.5811476,113,9,146,5.98
kaidale(2),14.3315243,75.9002245,69,15,160,7.73
devarahatti(2),14.5112293,75.9121035,65,10,175,5.89
devarahatti(3),14.5129103,75.9126145,74,17,194,7.66
devarahatti(4),14.5127758,75.9131798,68,13,133,6.43
kakkaragolla(2),14.5244122,75.871346,121,35,194,7.58
giriyavvanahalli(2),14.4650286,75.986706,99,10,295,7.64
agasanakatte(2),4.4343148,76.0276134,59,8,91,7.99
shiraganahalli(2),13.7830472,76.0511779,80,9,39,7.36
kadajji(3),14.5045043,75.9807325,95,17,171,6.7
kadajji(4),14.5070184,75.9784329,54,10,149,8
nalkunda(2),14.2509778,76.0508904,110,9,118,8.3
medikeri pura(2),14.6140745,76.0734318,96,23,150,7.63
siriganahalli(2),14.4232171,75.859832,103,13,194,7.79
shinganahalli(2),14.0162324,75.3672154,79,10,104,8.08
shinganahalli(3),14.014998,75.3698404,71,13,155,7.95
shinganahalli(4),14.0112968,75.379706,56,10,169,7.81
maganahalli(2),14.4720024,75.9199365,76,10,171,7.67
bisaleri(2),14.3963385,75.8801195,91,15,161,7.65
bisaleri(3),14.398963,75.8804171,79,14,144,7.7
kukkavada(2),14.3318718,75.882638,91,16,195,7.65
ganganakatte(2),14.3556925,76.0631721,103,22,164,7.8
ganganakatte(3),14.3552119,76.0654373,94,9,198,7.76
gonivada(2),14.3034686,75.9020197,66,15,149,7.85
gonivada(3),14.303045,75.9026702,59,17,160,7.73
gonivada(4),14.3041008,75.9030949,126,57,195,8.13
gonivada(5),14.304032,75.903543,95,17,181,7.54
gonivada(6),14.3036793,75.9038371,53,13,95,7.97
kodaganur(2),14.3326579,76.0373652,115,17,104,6.88
bethuru(2),14.4869137,75.9424025,126,79,160,7.31
bethuru(3),14.4896687,75.9417456,94,25,174,7.53
bethuru(4),14.4894108,75.9440358,113,25,194,7.14
bethuru(5),14.4882913,75.9448923,113,17,198,7.57
bethuru(6),14.4867472,75.9410327,124,23,184,7.33
bethuru(8),14.4892971,75.9430725,69,11,174,7.98
bethuru(9),14.4887533,75.9445404,91,19,169,6.53
bethuru(10),14.4885972,75.9449908,59,8,125,7.76
bethuru(11),14.4877274,75.9444182,59,10,171,8.1
hadadi(2),14.3622791,75.8876395,113,19,118,7.49
hadadi(3),14.3651296,75.8888379,51,9,99,8.1
kashipura(2),14.3111479,75.9682686,65,9,119,4.72
kashipura(3),14.3116028,75.9697622,121,25,81,7.18
Bommenahalli(2),14.1029122,76.0047699,54,7,113,8.87
DAVANGERE(2),14.4682295,75.878994,65,58,126,8.15
DAVANGERE(3),14.4602439,75.9258697,95,7,194,1.55
DAVANGERE(4),14.4660154,75.9341263,71,63,165,7.66
DAVANGERE(5),14.4587512,75.9275233,85,21,139,7.54
pamenahalli(2),14.4100066,75.937756,113,25,175,7.34
gandhinagar(2),14.4772192,76.1019268,76,10,103,7.96
gandhinagar(3),14.476627,76.102274,60,10,154,8.05
gandhinagar(4),14.4773128,76.1021119,55,13,58,8.14
anaberu(2),14.2655156,76.0279072,109,19,108,6.79
anaberu(3),14.2624848,76.0305595,100,18,198,6.27
dyamenahalli(2),14.2878338,75.9915007,108,17,169,6.83
syagale(2),14.2768115,75.930861,84,16,200,7.76
syagale(3),14.2768042,75.9319043,129,23,200,7.36
hebbalu(2),14.3819335,76.0926497,113,22,200,6.61
chattobanahalli(2),14.4018175,75.9804947,76,11,113,7.72
chattobanahalli(4),14.402054,75.981526,103,10,169,6.67
chattobanahalli(5),14.4018614,75.9810852,66,9,176,8.2
putakanahalu(2),14.5114752,75.9494384,113,23,149,7.04
malalkere(2),14.2840487,14.2840487,95,15,191,7.44
malalkere(3),14.2846981,75.9756317,118,19,199,6.7
gopanalu(2),14.3301119,75.9621723,118,15,195,6.78
hedne(2),14.2711195,76.0913066,84,10,198,7.99
hedne(3),14.2720903,76.1122954,91,17,194,6.36
hadadi(3),14.3660998,75.8895529,51,9,194,8.12
basavanahalu(2),14.4759002,75.9789025,98,17,160,7.51
vaderhalli(2),14.5537733,75.856525,103,13,194,7.55
hiretogaleri(2),14.355805,75.9786988,55,8,198,7.75
kundawada(2),14.4644243,75.893474,113,17,149,7.32
shamanuru(2),14.4364897,75.8930913,51,10,199,7.83
shamanuru(3),14.4361839,75.8939283,64,13,171,7.66
kariganur(2),14.3034642,75.8499989,65,25,194,7.62
kariganur(3),14.3068142,75.8533801,84,10,195,7.77
kariganur(4),14.3104618,75.8503419,94,8,155,6.28
kariganur(5),14.309592,75.8469632,108,23,185,7.44
kariganur(6),14.3113946,75.8513278,75,25,198,7.03
kariganur(8),14.3077703,75.8516472,109,16,185,7.27
kariganur(9),14.3035758,75.852634,113,13,169,6.44
dodderikatte(2),14.1226183,76.0028654,94,8,169,8.14
dodderikatte(3),14.1243372,76.0027997,75,9,185,7.99
dodderikatte(4),14.1244696,76.0040328,75,13,194,7.7
somanahalu(2),14.1693798,75.9775502,124,8,143,5.61
yekkegondi(2),14.2179321,76.0283617,101,36,165,7.5
astapanahalli(2),14.0833142,75.8578384,73,11,154,7.96
astapanahalli(3),14.083309,75.8592412,97,75,144,7.5
santhebennur(2),14.1679513,75.996058,113,21,155,7.01
santhebennur(3),14.1661517,76.0023236,75,9,108,7.78
santhebennur(4),14.1714777,75.9987724,84,9,125,5.89
santhebennur(5),14.1755676,76.0044644,70,10,190,7.32
B-Durga(1),14.1833067,76.1312915,65,9,180,5.31
B-Durga (2),14.1836414,76.1310601,95,9,185,5.19
B-Durga (3),14.1838638,76.1332696,115,14,186,7.32
B-Durga (4),14.1830463,76.1332195,99,17,154,6.85
thyavanige(2),14.2503557,75.8832013,69,11,145,8.9
thyavanige(3),14.246212,75.8836931,69,8,193,5.4
avalaghatta(2),14.1644967,75.9487628,99,9,157,5.93
lakshmi sagar(2),14.0086196,75.9220545,85,8,175,4.77
lakshmi sagar(3),14.0089917,75.9240335,79,7,159,4.75
koratagere(2),14.0713128,76.0386233,103,17,103,7.05
koratagere(3),14.070488,76.0389194,123,10,125,7.42
n.ganadakatte(2),14.11194,75.8347556,95,17,150,7.23
n.ganadakatte(3),14.1095677,75.8444759,84,23,106,6.99
kariganur(2),14.3090892,75.8495392,61,8,133,8.14
kariganur(4),14.3014316,75.8516984,103,21,118,7.35
kempanahalli(2),14.2364476,75.9225022,74,9,149,8.13
kempanahalli(3),14.2237323,75.9219429,125,21,164,7.42
kempanahalli(4),14.2273314,75.9289372,121,19,169,7.42
harosagar(2),14.2185697,75.8107307,95,9,185,5.51
harosagar(3),14.2168935,75.811607,95,9,194,5.51
doddabbigere(2),14.1667216,76.0411592,73,7,160,4.93
doddabbigere(3),14.1670259,76.0450645,71,10,199,7.86
doddabbigere(4),14.167216,76.0441427,103,20,153,6.93
kamsagar(2),14.1902135,75.8336167,102,17,144,7.58
thyavanige(2),14.2501313,75.8849628,54,8,154,8.03
yalodahalli(2),14.214536,75.7597841,113,11,39,7.23
yalodahalli(3),14.2148232,75.7748192,79,7,47,6.86
nichavvanahalli(3),14.7025134,76.0419622,74,9,48,8.12
ragimasalawada(2),14.5927123,75.8866024,107,15,74,7.72
ragimasalawada(3),14.6038088,75.9131356,71,10,40,6.23
ragimasalawada(4),14.5954905,75.9039565,66,10,103,7.6
ramaghatta(2),14.5378586,76.0854049,69,12,162,7.59
arasanahal(2),14.5348544,76.1059387,64,9,144,8.07
uchangidurga(2),14.5559413,76.0416876,64,9,139,8.04
uchangidurga(3),14.5592954,76.0555064,64,9,191,8.04
punabagatta(2),14.6047275,76.0202921,103,29,103,7.25
ragimasalawada(5),14.5974316,75.8995685,65,10,165,8.12
anajigeri(3),14.5990407,76.0808658,65,7,175,7.85
muttigi(2),14.7570267,76.0570028,83,20,154,7.84
chatnihalli(2),14.5251112,76.0199313,71,17,154,7.7
chatnihalli(3),14.5190458,76.0364537,108,23,170,6.65
chatnihalli(4),14.5194046,76.0772846,102,49,139,7.53
chatnihalli(5),14.5295712,76.0730997,74,11,195,7.86
kanchikeri(2),14.6144664,75.9746008,60,10,171,7.99
kanchikeri(3),14.6156692,75.9783281,69,9,199,8.12
kanchikeri(4),14.6173941,75.9793049,69,9,161,8.12
nagarakatte(2),14.4821408,75.9711671,60,14,155,7.65
sathur(3),14.5470722,75.9840322,91,13,179,6.29
sathur(4),14.5376082,75.9655465,98,14,154,6.18
sathur (5),14.5224506,75.963952,51,17,163,7.17
neelagunda(2),14.7332329,75.8946001,115,22,154,6.82
kambatrahalli(2),14.7246937,75.9731622,66,74,138,7.62
hiremegalageri(2),14.5686512,75.9644006,85,13,149,6.7
hiremegalageri(3),14.5665393,75.9847083,91,15,194,6.73
k.kallahalli(2),14.7854706,75.8586898,73,12,160,7.85
k.kallahalli(3),14.7729936,75.867758,74,10,165,8.07
kadathi(2),14.6616519,75.8068871,110,31,190,7.1
kadathi(3),14.6616884,75.8079858,120,21,190,6.88
ittigudi(2),14.7295949,75.8518196,74,10,114,7.67
ittigudi(4),14.73071,75.8515615,69,10,194,7.66
ittigudi(5),14.7307456,75.8504587,103,15,113,7.39
ittigudi(6),14.7313264,75.8535089,66,7,149,7.19
chigateri(2),14.8206727,76.0877865,98,19,194,7.6
dibbadahalli(2),14.5416159,76.486562,95,23,110,7.41
dibbadahalli(3),14.5404697,76.4911261,88,11,318,7.72
dibbadahalli(4),14.5377798,76.4951587,75,15,169,7.54
dibbadahalli(5),14.5437611,76.4967465,98,10,181,7.64
dibbadahalli(6),14.5468997,76.4915133,54,7,103,7.62
dibbadahalli(7),14.5522063,76.4884448,113,15,176,7.04
yalavatti(2),14.406,75.7239347,120,21,179,6.51
yalavatti(3),14.4066473,75.7272763,108,9,110,6.02
yalavatti(4),14.4062652,75.7254025,73,17,169,7.32
yalavatti(5),14.4063718,75.7249169,113,27,169,6.71
yalavatti(6),14.4059683,75.7263941,113,23,179,7.31
yalavatti(7),14.4061882,75.7253319,91,7,199,5.98
yalavatti(8),14.4058857,75.7266247,103,15,196,7.26
yalavatti(9),14.4047848,75.725298,59,9,194,8.62
yalavatti(10),14.4055691,75.7242154,63,8,184,8.79
yalawatti(14),14.4066211,75.7250253,99,8,166,5.92
yalawatti(15),14.4069586,75.7256161,86,10,140,5.61
yalawatti(17),14.4061933,75.7248512,125,21,176,6.42
yalawatti(18),14.4064225,75.7265394,115,20,113,7.29
yalawatti(19),14.4065864,75.7254519,91,12,154,7.7
yalawatti(20),14.4063435,75.7242608,104,21,175,6.92
yalawatti(21),14.4067249,75.7259012,118,22,181,7.48
yalawatti(22),14.4074152,75.7251551,55,11,169,6.99
yalawatti(23),14.4071486,75.7255876,69,22,160,6.99
yalawatti(24),14.4056932,75.7249292,91,9,175,5.25
yalawatti(25),14.405431,75.727523,121,23,169,6.45
yalawatti(26),14.4057791,75.7266072,110,17,103,6.91
kunibelakere(2),14.3994133,75.8068013,104,25,169,6.92
kunibelakere(3),14.3980363,75.8069032,60,9,103,8.31
kunibelakere(4),14.3986319,75.8075415,55,10,155,8.04
sirigere(2),14.4320603,75.6874071,109,11,164,6.9
sirigere(3),14.429233,75.695662,84,6,146,5.51
vaderahalli(2),14.5507722,75.8559349,94,10,94,8.19
vaderahalli(3),14.5502426,75.8609775,108,13,169,8.02
vaderahalli(4),14.5494429,75.8603016,99,12,149,8.12
vaderahalli(5),14.5485466,75.8614035,93,17,149,7.94
chikkabidre(2),14.6263319,75.8150196,98,10,199,7.44
nittur(2),14.3684747,75.7763904,75,9,180,7.86
sirigere(3),14.4264122,75.7001155,109,11,159,6.14
sirigere(4),14.422037,75.7052043,117,10,171,6.49
sirigere(5),14.4240751,75.7067516,103,7,180,6.25
sirigere(6),14.4292086,75.7111221,55,11,160,7.6
sirigere(7),14.4313314,75.7100676,79,11,144,7.49
kenchanahalli(2),14.589398,75.862071,66,14,145,7.78
hanagawadi(2),14.4744565,75.7841751,88,25,150,7.63
hanagawadi(3),14.4753037,75.790151,97,21,185,7.54
hanagawadi(4),14.4767224,75.7928204,98,15,195,7.69
bannikodu(2),14.4377214,75.8021333,59,9,188,8.49
bannikodu(3),14.4391137,75.8129694,79,7,194,5.18
salakatte(2),14.4475442,75.8718683,74,10,180,7.29
hallihalu(2),14.3820946,75.6996149,69,7,189,7.71
kadaranaikanahalli(2),14.4094271,75.6809548,85,17,184,7.11
kadaranaikanahalli(3),14.4059772,75.6899456,118,25,159,7.34
holesirigere(2),14.4468883,75.7020503,103,22,179,7.13
holesirigere(3),14.4476052,75.7039815,74,10,181,6.76
holesirigere(4),14.4471787,75.7036622,78,14,194,7.93
holesirigere(5),14.4455722,75.7025666,59,10,166,7.78
holesirigere(6),14.4450168,75.7045401,103,19,180,7.46
kondaji(2),14.5685117,75.8687229,103,13,125,7.62
kondajji(3),14.5685564,75.8722128,69,15,163,7.92
bannikodu(2),14.4363291,75.8043434,95,19,131,7.47
bannikodu(3),14.4358833,75.8141067,96,15,179,7.77
bannikodu(4),14.4420942,75.8181436,76,10,149,7.84
bannikodu(5),14.4463539,75.8242155,69,8,199,8.08
jigali(2),14.3878468,75.7327509,91,45,164,7.55
jigali(3),14.3863581,75.7357872,113,10,166,6.35
jigali(4),14.3871552,75.7371155,95,15,33,7.43
Kechchenahalli2),14.5709831,76.3041525,111,14,65,6.66
bannikodu(2),14.4365785,75.8011892,98,19,92,7.96
bannikodu(3),14.4367551,75.8066072,103,21,103,7.82
bannikodu(4),14.434773,75.8102716,103,9,190,5.94
bannikodu(5),14.4365388,75.8117055,83,13,157,7.93
bannikodu(6),14.4411369,75.817027,103,15,174,7.25
bannikodu(8),14.4490238,75.831632,99,17,185,7.39
kumbalur(2),14.375781,75.7491016,94,9,180,6.46
shamshipura(2),14.4567821,75.8068194,54,13,170,7.93
shamshipura(3),14.4541406,75.8131362,54,8,154,8.37
shamshipura(4),14.4537052,75.8115058,105,17,188,7.77
bilasanur(2),14.4856796,75.7328072,79,15,154,7.68
kondajji(2),14.5685896,75.8695383,110,64,198,47.49
malebennuru(2),14.356368,75.7408313,69,8,191,5.12
malebennuru(3),14.3557288,75.7403903,69,10,108,7.79
hottigenahalli(2),14.6016658,75.8473492,103,28,159,7.56
hottigenahalli(4),14.6010388,75.8547594,51,11,80,7.94
kadaranaikanahalli(1),14.4078373,75.6806437,115,18,103,6.95
kadaranaikanahalli(2),14.4076035,75.6882578,63,10,180,8.07
kadaranaikanahalli(3),14.4087494,75.6928172,113,17,174,7.04
kadaranaikanahalli(4),14.403654,75.6925523,111,13,175,7.63
kadaranaikanahalli(5),14.4023828,75.691164,79,10,183,7.85
kadaranaikanahalli(6),14.4012124,75.6907594,121,18,176,7.36
kadaranaikanahalli(7),14.4127263,75.6937998,54,9,184,8.27
sirigere(2),14.4319828,75.6832595,54,7,179,4.95
bullapura(2),13.9893657,75.6401906,99,15,190,7.38
vasana(2),14.4181567,75.6512734,99,12,175,7.46
komaranahalli(2),14.3173538,75.7077461,54,7,166,7.35
komaranahalli(3),14.3151326,75.7190646,104,21,166,7.47
komaranahalli(4),14.3089958,75.716668,76,13,174,7.75
k. bevinahalli(2),14.4250418,75.8184669,127,23,168,7.48
hunesehalli(2),14.2142481,75.7186582,69,19,154,5.06
hunesehalli(3),14.2138217,75.7174029,79,13,194,6.67
hunsagatta(2),13.132467,77.4741302,84,23,194,7.78
benakanahalli(2),13.3930507,77.5804764,69,9,103,5.76
benakanahalli(3),13.3936456,77.5818548,103,24,139,7.38
benakanahalli(4),13.3957831,77.5824566,98,64,178,6.63
benakanahalli(5),13.397058,77.5825097,79,7,195,6.9
benakanahalli(7),13.394678,77.5807678,74,40,169,7.47
kulambi(2),14.2955958,75.7990658,74,10,195,7.82
kunduru(2),13.2839354,76.6558439,54,13,141,7.62
asagodu(2),14.5581063,76.1471405,74,9,110,8.4
asagodu(3),14.5586559,76.1494477,95,8,154,7.3
asagodu(4),14.5579582,76.1504613,84,9,185,7.34
asagodu(5),14.5605193,76.1513213,85,9,194,7.51
halekal(2),14.4568889,76.1360854,103,19,174,6.46
halekal(3),14.4568562,76.1387843,111,23,166,6.95
meldaginakere(2),14.4932755,76.2468473,51,11,184,7.99
Madamuthnahalli(2),14.5735245,76.4431639,54,7,159,8.62
Madamuthnahalli(3),14.5719773,76.4477665,103,22,176,7.62
Madamuthnahalli(4),14.5718188,76.4512353,86,34,165,6.64
jagalur(4),14.5129816,76.3350428,109,13,185,7.03
honnaikanahalli,14.0270404,75.9671376,110,11,102,6.63
mayakonda,14.2745,76.0798,124,28,165,6.77
kukkuvada,14.3317,75.8846,128,25,181,7.46
honnur,14.4194,75.9964,75,7,103,6.78
kabburu,14.2937,76.0218,118,17,199,6.36
bisaleri,14.3982,75.8803,63,9,149,8.04
anaji,14.4805,76.0784,102,13,166,6.8
vaddinahalli,14.4243,75.9724,74,10,184,7.65
nagarakatte,14.4822,75.9721,83,14,169,7.61
kaidale,14.3356,75.9144,123,24,188,6.59
lingadahalli,14.1,75.8541,69,8,104,7.74
hunasekatte,14.3747,76.1284,65,10,166,8.02
kandagal,14.2634,75.9652,75,10,194,8.23
anagodu,14.3932,76.0464,63,33,65,6.81
kolenahalli,14.3348,75.8657,71,10,54,7.61
rampura,14.1593,75.6855,115,14,32,6.65
gollarahatti,14.4982,76.0653,63,9,211,7.85
alur,14.4933,76.0087,58,5,320,8.15
naraganahalli,14.3439,76.0892,62,9,75,7.96
shamshipura,14.4546,75.8156,98,10,68,7.01
anajigeri,14.5937,76.0914,65,14,81,7.87
hanumanahalli,14.1566,75.7288,108,9,176,7.54
syagale,14.2778,75.9329,125,59,49,6.78
gudalu,14.4276,76.0987,63,10,58,7.91
kandanakovi,14.4319,76.0697,97,9,49,6.17
kodaganur,14.3352,76.0385,124,24,95,7.23
siddanur,14.4191,76.0385,68,8,102,8.17
ramagondanahalli,14.0981,75.9536,102,10,60,7.69
lokikere,14.3037,75.9275,94,8,60,7.7
gummanur,14.4149,76.111,125,9,65,5.63
siddanur,14.4191,76.0385,97,9,50,8.1
honnamaradi,14.3126,75.893,93,14,62,7.35
kodaganur,14.3352,76.0385,105,13,109,7.14
H. basavapura,14.029,75.8156,94,10,125,7.13
kenchammanahalli,14.4106,76.0878,98,9,195,5.68
lingadahalli,14.1,75.8541,102,17,124,7.09
mudenahalli,14.4234,76.0755,97,21,127,7.37
kabburu,14.2937,76.0218,96,11,118,7.41
doddabathi,14.4772,75.8592,85,10,130,5.53
kyatanahalli,14.231,76.0653,86,8,131,5.92
kereyagalahalli,14.4472,76.0805,87,17,136,6.28
hulikatte,14.4619,76.1016,68,8,119,5.57
ganganakatte,14.3552,76.0646,79,15,117,7.89
honnur,14.4194,75.9964,53,9,118,8.09
chikkavvanagathihalli,14.4747,76.1186,100,21,123,7.1
anaberu,14.2672,76.029,70,9,126,5.31
alur,14.4933,76.0087,103,17,124,7.44
kadlebalu,14.5402,75.9082,68,9,129,7.85
astapanahalli,14.781,75.987,60,10,118,7.79
sultanipura,14.3493,76.0479,126,17,111,6.48
avaragere,14.4468,75.9449,107,13,128,7.66
kandanakovi,14.4319,76.0697,54,7,125,8.02
dindadahalli,14.3116,76.0718,108,20,111,7.13
neerthadi,14.353,76.1472,124,24,17,6.28
